datetime,open,high,low,close,volume
2021-01-01,11.244,12.485,11.071,11.869,23199628.14
2021-01-02,11.868,12.455,11.456,12.226,25747352.18
2021-01-03,12.228,14.069,11.85,13.719,44451096.87
2021-01-04,13.724,15.86,12.333,13.611,66724684.51
2021-01-05,13.61,14.931,13.113,14.531,40608542.36
2021-01-06,14.537,17.366,14.158,17.29,49259450.11
2021-01-07,17.295,17.52,15.078,15.989,41306461.24
2021-01-08,15.99,16.262,14.13,15.251,41229302.63
2021-01-09,15.253,17.936,15.004,17.589,33525639.35
2021-01-10,17.595,18.498,15.488,16.228,38916176.03
2021-01-11,16.221,16.281,12.5,14.657,55281912.66
2021-01-12,14.655,15.495,13.684,13.982,30519127.87
2021-01-13,13.978,16.254,13.376,15.952,26764681.9
2021-01-14,15.956,18.047,15.35,18.023,27785906.34
2021-01-15,18.027,21.682,17.562,20.766,88211876.93
2021-01-16,20.768,23.067,19.655,20.13,60270706.38
2021-01-17,20.134,23.78,19.388,23.286,47435718.56
2021-01-18,23.279,23.75,21.085,22.069,29969769.86
2021-01-19,22.067,22.93,20.398,20.585,26192768.9
2021-01-20,20.564,21.991,19.055,21.867,31757963.44
2021-01-21,21.861,22.086,18.06,18.441,37677979.27
2021-01-22,18.437,22.548,17.111,21.578,41249960.45
2021-01-23,21.58,25.56,21.163,24.824,48751117.46
2021-01-24,24.827,24.988,23.1,24.831,30307266.89
2021-01-25,24.835,25.845,22.613,23.367,30125870.31
2021-01-26,23.367,23.993,21.669,23.132,24465211.72
2021-01-27,23.128,23.272,20.282,20.989,25834468.1
2021-01-28,20.986,24.516,20.521,23.02,26582152.09
2021-01-29,23.031,24.324,22.085,22.781,23877037.88
2021-01-30,22.779,24.033,22.188,23.699,14836039.42
2021-01-31,23.694,24.797,22.1,22.609,16761323.56
2021-02-01,22.601,23.236,21.65,22.928,11858578.09
2021-02-02,22.92,24.234,22.77,23.725,13803273.96
2021-02-03,23.734,25.659,23.62,25.131,19642921.65
2021-02-04,25.139,26.278,22.687,24.519,25315599.35
2021-02-05,24.516,27.133,24.45,26.352,25252177.41
2021-02-06,26.353,26.893,24.207,25.102,17791985.51
2021-02-07,25.102,25.354,22.781,24.777,16162844.99
2021-02-08,24.774,26.08,24.002,25.465,17094624.41
2021-02-09,25.47,28.079,25.043,27.667,21181577.63
2021-02-10,27.659,28.744,24.65,26.853,30207935.11
2021-02-11,26.848,28.662,26.225,27.895,16107859.39
2021-02-12,27.894,31.55,26.713,30.713,21176420.47
2021-02-13,30.713,35.0,29.135,34.316,26919047.02
2021-02-14,34.313,35.8,32.306,33.215,21213347.53
2021-02-15,33.215,35.0,27.07,32.683,27873371.81
2021-02-16,32.681,33.498,30.807,32.004,17318155.55
2021-02-17,32.013,32.796,30.033,32.289,12714169.79
2021-02-18,32.288,33.718,31.835,32.524,11374610.58
